Short name,Latitude,Longitude
RUS,77.61116586626405,103.93287739478444
RUS,52.710101614893354,114.46289109289631
RUS,68.40599599111931,101.22417589886749
RUS,44.40407770548401,39.738913314704604
RUS,68.64228463536755,157.60168333049637
RUS,62.23525800658213,101.13040658544452
RUS,56.79562452426214,38.25605751817727
RUS,64.01536619330878,97.10134443664987
RUS,75.07749531306638,148.0776277639306
RUS,54.8300920701534,131.51637899776546
RUS,57.87974070695725,44.60358678979139
RUS,65.00676889255828,56.813917670105354
RUS,57.042777338593524,54.455669305094005
RUS,56.42483896035178,92.55825619280944
RUS,55.62859789281805,130.68578560777235
RUS,52.22519135411805,43.57184466105272
RUS,58.77872819850654,28.89230725976708
RUS,39.470769181314964,45.98121644094243
RUS,52.209322230906174,54.62217999543884
RUS,62.788509767395965,55.96942127594792
RUS,58.67382207876519,66.37036091939271
RUS,67.20953447167432,111.32758315441907
RUS,73.77092696942918,103.46986439119439
RUS,68.06280425104927,33.8822510444204
RUS,61.65289719105887,30.53147306899845
RUS,70.19118493732148,69.47339544151919
RUS,65.606557465302,148.32326514712702
RUS,63.81945617997836,69.6361745605951
RUS,59.15492517129813,46.90042568806692
RUS,64.84976195877358,71.99663718660128
CHN,41.368655406887186,110.38791309636176
CHN,23.094713817856512,101.67217779378858
CHN,26.391528914818586,111.5764599394532
CHN,40.995659396107754,94.02211988636441
CHN,39.889379454442675,118.80087724348411
CHN,27.795905565431283,120.14093640813664
CHN,36.902116487986135,99.13852793277881
CHN,42.86048242969679,90.7513869376057
CHN,47.565631509613326,112.97489877668949
CHN,44.43533714851556,116.07041530564214
CHN,49.59873319826542,128.0814657944568
CHN,35.283099016325835,88.21809498476262
CHN,46.11746494658257,132.37146269358757
CHN,33.946832958350505,85.9774657357033
CHN,33.084031970189116,100.0562385649234
CHN,49.27577938804247,118.70559874210903
CHN,43.20754101783888,124.23660559001641
CHN,38.66510757117682,77.49494024758397
CHN,47.19797126716469,94.06253315357014
CHN,36.40373882873237,87.79122051232017
CHN,38.130120938656205,89.85499722668108
CHN,29.155167311058598,87.93464527136793
CHN,47.067065757101105,119.25448139166457
CHN,35.62646434836853,90.8062220517776
CHN,45.655569378653595,125.31571205524133
CHN,44.03432855976472,116.8852608440946
CHN,42.04002711025491,80.37173591693869
CHN,30.350377010111153,87.3814062309298
CHN,29.97403908615379,105.07261439703868
CHN,31.396593596474144,89.94125829901392
RSAF,-19.31442012993434,19.588818297829803
RSAF,-17.04206727434945,20.71379472634318
RSAF,-13.299486187277715,28.176164939290807
RSAF,-8.874845168857448,15.800427176225092
RSAF,-15.206645592805044,30.74070785960891
RSAF,-25.03488502897556,20.254907969870658
RSAF,-14.909226705343029,31.085338764106915
RSAF,-26.079936107065137,19.485829483311036
RSAF,-23.40538291642607,35.13239345555381
RSAF,-23.96051060151764,18.203540128695444
RSAF,-18.051035721559074,36.53277935210856
RSAF,-20.551125020253885,21.323818094294133
RSAF,-22.344646880040813,17.82179222479136
RSAF,-7.772713008550021,32.485468494215006
RSAF,-9.729867341201224,31.03898071510664
RSAF,17.551761701898478,-16.209922780641694
RSAF,-20.266319951863174,25.430624628936457
RSAF,-10.10372687810736,29.068398823324806
RSAF,-22.737669626369154,24.854312943449123
RSAF,7.580676600248609,-11.560613507078962
